episode,length,total_reward,avg_q,exploration
0,200,-200.0,-0.5420419,1.0
1,200,-200.0,-3.5665436,0.9950248756218907
2,200,-200.0,-13.666056,0.990074503106359
3,200,-200.0,-33.449486,0.98514875930981
4,200,-200.0,-57.07664,0.9802475217013037
5,200,-200.0,-70.67559,0.9753706683595063
6,200,-200.0,-77.189156,0.970518077969658
7,200,-200.0,-79.452774,0.9656896298205554
8,200,-200.0,-80.3864,0.9608852038015477
9,200,-200.0,-78.49585,0.9561046803995501
10,200,-200.0,-79.86735,0.9513479406960699
11,200,-200.0,-77.54629,0.9466148663642487
12,200,-200.0,-77.143875,0.9419053396659193
13,200,-200.0,-77.830246,0.937219243448676
14,200,-200.0,-75.904785,0.9325564611429613
15,200,-200.0,-76.15475,0.9279168767591656
16,200,-200.0,-76.13041,0.9233003748847419
17,200,-200.0,-75.7452,0.9187068406813353
18,200,-200.0,-76.502205,0.9141361598819259
19,200,-200.0,-76.06129,0.909588218787986
20,200,-200.0,-74.78936,0.9050629042666528
21,200,-200.0,-75.11793,0.9005601037479133
22,200,-200.0,-74.738335,0.8960797052218044
23,200,-200.0,-75.03735,0.8916215972356263
24,200,-200.0,-74.92598,0.8871856688911706
25,200,-200.0,-74.742645,0.8827718098419609
26,200,-200.0,-74.81879,0.8783799102905084
27,200,-200.0,-73.63711,0.8740098609855806
28,200,-200.0,-73.94186,0.8696615532194834
29,200,-200.0,-73.02755,0.8653348788253566
30,200,-200.0,-74.126205,0.8610297301744844
31,200,-200.0,-74.01261,0.8567460001736164
32,200,-200.0,-73.73506,0.8524835822623049
33,200,-200.0,-73.39546,0.8482423704102537
34,200,-200.0,-73.643745,0.8440222591146804
35,200,-200.0,-74.1872,0.839823143397692
36,200,-200.0,-74.11194,0.8356449188036738
37,200,-200.0,-74.79743,0.8314874813966904
38,200,-200.0,-74.92566,0.827350727757901
39,200,-200.0,-76.278305,0.8232345549829861
40,200,-200.0,-77.50372,0.8191388606795883
41,200,-200.0,-77.977066,0.8150635429647646
42,200,-200.0,-78.11292,0.8110085004624524
43,200,-200.0,-79.94263,0.8069736323009478
44,200,-200.0,-81.606,0.8029588381103959
45,200,-200.0,-82.18033,0.7989640180202945
46,200,-200.0,-83.34242,0.7949890726570096
47,200,-200.0,-85.30678,0.7910339031413032
48,200,-200.0,-86.22014,0.7870984110858739
49,200,-200.0,-87.509964,0.7831824985929094
50,200,-200.0,-90.27049,0.7792860682516513
51,200,-200.0,-90.94444,0.7754090231359715
52,200,-200.0,-92.35966,0.7715512668019617
53,200,-200.0,-93.11614,0.7677127032855341
54,200,-200.0,-94.70842,0.763893237100034
55,200,-200.0,-96.12488,0.7600927732338647
56,200,-200.0,-95.83421,0.7563112171481242
57,200,-200.0,-95.666885,0.752548474774253
58,200,-200.0,-98.2125,0.7488044525116946
59,200,-200.0,-98.523636,0.7450790572255668
60,200,-200.0,-96.04773,0.7413721962443451
61,200,-200.0,-94.94498,0.7376837773575574
62,200,-200.0,-95.84546,0.73401370881349
63,200,-200.0,-94.352066,0.7303618993169055
64,200,-200.0,-93.55103,0.7267282580267718
65,200,-200.0,-95.11662,0.7231126945540018
66,200,-200.0,-92.98689,0.719515118959206
67,200,-200.0,-92.25663,0.7159354417504538
68,200,-200.0,-91.908104,0.7123735738810486
69,200,-200.0,-91.728775,0.7088294267473121
70,200,-200.0,-91.72918,0.7053029121863803
